Tip_Label,Broad Diet
Eusmilus_dakotensis,Carnivore
Fossa_fossana,Carnivore
Furipterus_horrens,Invertivore
Galidia_elegans,Carnivore
Giraffa_camelopardalis,Herbivore
Glaucomys_sabrinus,Herbivore
Glossotherium_robustum,Herbivore
Glyptodon_typus,Omnivore
Gorilla_gorilla,Herbivore
Graphiurus_murinus,Omnivore
Hapalops_elongatus,Herbivore
Harpagolestes_macrocephalus,Carnivore
Helarctos_malayanus,Omnivore
Hemigalus_derbyanus,Carnivore
Herpestes_javanicus,Carnivore
Hesperogaulus_wilsoni,Herbivore
Choeropsis_liberiensis,Herbivore
Hipposideros_armiger,Invertivore
Hippotragus_equinus,Herbivore
Holmesina_occidentalis,Omnivore
Homocamelus_caninus,Herbivore
Homotherium_sp,Carnivore
Hoplophoneus_primaevus,Carnivore
Hyaena_hyaena,Carnivore
Hyaenodon_paucidens,Carnivore
Hydropotes_inermis,Herbivore
Hylobates_lar,Herbivore
Hyracodon_nebraskensis,Herbivore
Hystrix_cristata,Herbivore
Ictitherium_viverrinum,Carnivore
Ictops_dakotensis,Carnivore
Indri_indri,Herbivore
Inia_geoffrensis,Carnivore
Kannabateomys_amblyonyx,Herbivore
Kerivoula_minuta,Invertivore
Kerodon_rupestris,Herbivore
Kobus_ellipsiprymnus,Herbivore
Kogia_breviceps,Invertivore
Lagenorhynchus_albirostris,Carnivore
Lasionycteris_noctivagans,Invertivore
Leontopithecus_rosalia,Omnivore
Lepilemur_microdon,Herbivore
Leptictis_sp,Carnivore
Lepus_californicus,Herbivore
Lontra_felina,Carnivore
Loris_tardigradus,Invertivore
Macrauchenia_sp,Herbivore
Macroeuphractus_sp,Invertivore
Macroscelides_proboscideus,Invertivore
Manis_javanica,Invertivore
Massoutiera_mzabi,Herbivore
Megaladapis_edwardsi,Herbivore
Megaptera_novaeangliae,Carnivore
Megatherium_americanum,Herbivore
Mephitis_mephitis,Omnivore
Merycochoerus_proprius,Herbivore
Mesocyon_coryphaeus,Carnivore
Mesohippus_meteulophus,Herbivore
Mesoplodon_europaeus,Invertivore
Metarhinus_fluviatilis,Herbivore
Micropteropus_pusillus,Herbivore
Miniochoerus_gracilis,Herbivore
Miniopterus_australis,Invertivore
Miolabis_fricki,Herbivore
Moeritherium_andrewsi,Herbivore
Molossus_rufus,Invertivore
Monachus_monachus,Carnivore
Mops_thersites,Invertivore
Moropus_elatus,Herbivore
Moschus_moschiferus,Herbivore
Muntiacus_muntjak,Omnivore
Myocastor_coypus,Herbivore
Myodes_gapperi,Herbivore
Myospalax_psilurus,Herbivore
Myotis_vivesi,Carnivore
Mystacina_tuberculata,Omnivore
Myzopoda_aurita,Invertivore
Nandinia_binotata,Omnivore
Natalus_major,Invertivore
Neofelis_nebulosa,Carnivore
Neohipparion_affine,Herbivore
Neoparadoxia_cecilialina,Herbivore
Neoreomys_australis,Herbivore
Neoromicia_nana,Invertivore
Neotherium_mirum,Carnivore
Neotoma_albigula,Herbivore
Nesomys_rufus,Herbivore
Noctilio_albiventris,Invertivore
Nothrotheriops_sp,Herbivore
Notostylops_pendens,Herbivore
Nycteris_tragata,Invertivore
Ochotona_pallasi,Herbivore
Odobenocetops_peruvianus,Carnivore
Odobenus_rosmarus,Invertivore
Onychomys_leucogaster,Invertivore
Oodectes_sp,Invertivore
Orycteropus_afer,Invertivore
Oryctolagus_cuniculus,Herbivore
Osbornodon_fricki,Carnivore
Otolemur_crassicaudatus,Omnivore
Otomys_angoniensis,Herbivore
Paedotherium_chapadmalensis,Herbivore
Pakicetus_attocki,Carnivore
Palaeocastor_fossor,Herbivore
Palaeoprionodon_lamandini,Omnivore
Palaeopropithecus_maximus,Herbivore
Pan_troglodytes,Omnivore
Papio_hamadryas,Omnivore
Castoroides_kansensis,Herbivore
Paraceratherium_sp,Herbivore
Paradoxurus_hermaphroditus,Omnivore
Parahippus_tyleri,Herbivore
Pedetes_capensis,Herbivore
Petromus_typicus,Herbivore
Petromyscus_shortridgei,Omnivore
Phenacocoelus_stouti,Herbivore
Phocoena_phocoena,Carnivore
Physeter_macrocephalus,Invertivore
Pipistrellus_hesperidus,Invertivore
Platanista_gangetica,Carnivore
Platygonus_compressus,Herbivore
Plesictis_lemanensis,Carnivore
Pleurolestodon_aequidens,Herbivore
Poebrotherium_sp,Herbivore
Pongo_pygmaeus,Herbivore
Pontoporia_blainvillei,Carnivore
Potamogale_velox,Carnivore
Potamotherium_valetoni,Carnivore
Potos_flavus,Herbivore
Prionodon_pardicolor,Carnivore
Procavia_capensis,Herbivore
Prodeinotherium_hobleyi,Herbivore
Proechimys_cuvieri,Herbivore
Proneotherium_repenningi,Carnivore
Propalaehoplophorus_australis,Omnivore
Proteles_cristata,Invertivore
Protosiren_sp,Herbivore
Protypotherium_attenuatum,Herbivore
Pseudorca_crassidens,Carnivore
Pterodon_dasyuroides,Carnivore
Pteronarctos_goedertae,Carnivore
Pteropus_niger,Herbivore
Ptilocercus_lowii,Omnivore
Puelia_coarctatus,Herbivore
Puma_concolor,Carnivore
Ratufa_affinis,Herbivore
Reithrodontomys_megalotis,Herbivore
Rhinolophus_acuminatus,Invertivore
Rhinonicteris_aurantia,Invertivore
Rhinopoma_hardwickii,Invertivore
Rhizomys_sinensis,Herbivore
Rhynchocyon_petersi,Invertivore
Saccolaimus_saccolaimus,Invertivore
Saiga_tatarica,Herbivore
Saimiri_sciureus,Herbivore
Scalopus_aquaticus,Invertivore
Scelidotherium_sp,Herbivore
Schizodelphis_morckhoviensis,Carnivore
Sigmodon_leucotis,Herbivore
Sinorhinus_cornutus,Herbivore
Smilodon_sp,Carnivore
Solenodon_paradoxus,Invertivore
Sorex_monticolus,Invertivore
Spalax_leucodon,Herbivore
Coendou_spinosus,Herbivore
Stegotherium_tesselatum,Omnivore
Steno_bredanensis,Carnivore
Stenopsochoerus_sternbergi,Herbivore
Stromeriella_franconica,Omnivore
Sus_scrofa,Omnivore
Syndyoceras_cooki,Herbivore
Tachyoryctes_splendens,Herbivore
Tadarida_brasiliensis,Invertivore
Talpa_occidentalis,Invertivore
Tamandua_tetradactyla,Invertivore
Tamias_striatus,Herbivore
Tamiasciurus_douglasii,Herbivore
Tarsius_tarsier,Carnivore
Taxidea_taxus,Carnivore
Tayassu_pecari,Omnivore
Teleoceras_medicornutus,Herbivore
Tenrec_ecaudatus,Omnivore
Tetracerus_quadricornis,Herbivore
Thalassocnus_sp,Herbivore
Thoatherium_minisculum,Herbivore
Thomomys_talpoides,Herbivore
Thryonomys_swinderianus,Herbivore
Thyroptera_tricolor,Invertivore
Tolypeutes_tricinctus,Invertivore
Tomopeas_ravus,Invertivore
Tragelaphus_scriptus,Herbivore
Tragulus_javanicus,Herbivore
Trichechus_senegalensis,Herbivore
Trogosus_grangeri,Herbivore
Tupaia_glis,Omnivore
Tursiops_truncatus,Carnivore
Tylomys_nudicaudus,Herbivore
Tympanoctomys_barrerae,Herbivore
Uintatherium_anceps,Herbivore
Ictidomys_tridecemlineatus,Herbivore
Vampyrum_spectrum,Carnivore
Viverra_tangalunga,Omnivore
Vulpes_pallida,Omnivore
Xiphiacetus_bossi,Carnivore
Zalophus_californianus,Carnivore
Zapus_hudsonius,Herbivore
Zodiolestes_sp,Omnivore
